area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1495.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1200.0,2.0,2.0,48.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1679.0,3.0,2.0,94.86
Super built-up  Area,18-Nov,Balagere,2 BHK,Soresea,1210.0,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1623.0,3.0,3.0,155.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1115.0,2.0,1.0,35.8
Super built-up  Area,18-Apr,Electronics City Phase 1,2 BHK,Shitt S,1170.0,2.0,1.0,62.0
Built-up  Area,Ready To Move,KR Puram,4 Bedroom,Caxusnd,2065.0,4.0,0.0,248.0
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,SoncyRe,1245.0,2.0,1.0,55.0
Built-up  Area,19-Dec,Kanakapura,2 BHK,GoityEt,1017.0,2.0,1.0,66.0
Super built-up  Area,18-Mar,Sarjapur  Road,2 BHK,SJityaz,1242.0,2.0,1.0,75.0
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1792.0,3.0,1.0,104.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Sidin J,605.0,1.0,1.0,22.0
Super built-up  Area,18-Dec,Electronics City Phase 1,3 BHK,Shitt S,1450.0,3.0,2.0,79.0
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,Prana S,1232.0,3.0,1.0,96.0
Super built-up  Area,18-Aug,Uttarahalli,2 BHK,DSera S,1065.0,2.0,1.0,42.6
Super built-up  Area,Ready To Move,Lake City,2 BHK,Prdenth,780.0,2.0,1.0,31.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1070.0,2.0,1.0,42.79
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464.0,3.0,2.0,56.0
Super built-up  Area,18-Oct,Ramagondanahalli,3 BHK,DNeremo,1910.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530.0,3.0,2.0,64.0
Built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439.0,5.0,2.0,170.0
Super built-up  Area,Ready To Move,Varsova Layout,2 BHK,InhtsHe,1088.0,2.0,2.0,43.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174.0,2.0,1.0,78.0
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,3 BHK,Prllsan,1587.0,3.0,1.0,73.8
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Prensya,1304.0,2.0,1.0,69.97
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DSe 2ie,1100.0,2.0,2.0,65.0
Super built-up  Area,18-May,Hennur Road,3 BHK,Puachal,1482.0,2.0,1.0,68.9
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Sravema,1200.0,2.0,3.0,42.0
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,PSterAs,1070.0,2.0,2.0,32.99
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Bhentne,1100.0,2.0,1.0,46.5
Built-up  Area,Ready To Move,Whitefield,3 BHK,Hoensti,1270.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,69.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1529.0,3.0,3.0,51.77
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,Patri M,1319.0,3.0,1.0,37.75
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,991.0,2.0,0.0,64.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Pronyt ,662.0,1.0,0.0,38.0
Super built-up  Area,Ready To Move,Ananth Nagar,3 BHK,Patri M,1319.0,3.0,1.0,42.0
Plot  Area,Ready To Move,Brookefield,3 Bedroom,Sotus L,2000.0,3.0,2.0,300.0
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,985.0,2.0,1.0,25.12
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,ReudePr,1349.0,2.0,2.0,56.7
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844.0,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830.0,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275.0,4.0,2.0,185.0
Super built-up  Area,Ready To Move,Jaya Mahal layout,3 BHK,Nehalri,2648.0,3.0,3.0,238.0
Built-up  Area,Ready To Move,Sanne Amanikere,3 BHK,Hoxiaa ,1455.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,1.0,55.47
Super built-up  Area,18-Apr,Nagavarapalya,3 BHK,PuonsSe,1788.0,3.0,1.0,164.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243.0,2.0,1.0,46.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Goandn ,1855.0,3.0,3.0,140.0
Super built-up  Area,18-Aug,Kudlu Gate,3 BHK,Sanzaat,1850.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Cilip J,1315.0,2.0,2.0,60.0
Super built-up  Area,18-May,Whitefield,2 BHK,Prtates,1216.0,2.0,1.0,73.0
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3 BHK,Soosea ,1721.0,3.0,2.0,93.0
Super built-up  Area,17-Nov,Sonnenahalli,2 BHK,Skacak ,1059.0,2.0,1.0,62.0
Built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,Skesta ,1184.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,2223.0,3.0,2.0,300.0
Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,KSideas,1480.0,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Kodigehalli,2 BHK,Raellil,635.0,1.0,1.0,28.0
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1143.0,2.0,1.0,34.2
Built-up  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4800.0,4.0,3.0,420.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,251.0
Super built-up  Area,18-Apr,Pragathi Nagar,1 BHK,Asarkia,801.0,1.0,0.0,33.645
Super built-up  Area,18-Jan,Bellandur,3 BHK,NiCodCa,1685.0,3.0,3.0,101.0
Built-up  Area,Ready To Move,Banashankari,3 BHK,Sksia A,1540.0,3.0,3.0,80.0
Super built-up  Area,18-Jan,Thanisandra,2 BHK,Bhmesy ,1265.0,2.0,1.0,72.0
Built-up  Area,Ready To Move,Amblipura,3 BHK,SuodsAc,1300.0,2.0,1.0,80.0
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,Vaaldak,1009.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Marsur,2 BHK,Asara S,497.0,1.0,1.0,20.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2480.0,4.0,1.0,265.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,VHistal,1142.0,2.0,0.0,35.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,48.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1125.0,2.0,1.0,32.49
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Doissa ,1575.0,2.0,3.0,85.0
Super built-up  Area,18-Dec,Hosa Road,2 BHK,SJerse ,1360.0,2.0,1.0,77.61
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1200.0,2.0,1.0,34.65
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,SNity S,2185.0,3.0,3.0,120.0
Built-up  Area,Ready To Move,Bagalur,4 BHK,Krton S,2400.0,4.0,3.0,135.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Gundaa ,1012.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1130.0,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Proodt ,1744.0,4.0,1.0,210.0
Super built-up  Area,18-Jul,Rajaji Nagar,4 BHK,ProdsWe,2733.0,5.0,2.0,259.0
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,Ajnue A,1354.0,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Stlomg ,1389.0,2.0,2.0,94.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2970.0,3.0,3.0,130.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1738.0,2.0,1.0,57.35
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Xeitaa ,1270.0,2.0,3.0,73.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,SNbay G,1160.0,2.0,1.0,52.2
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1135.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,MBodsen,1224.0,2.0,2.0,48.95
Built-up  Area,Ready To Move,Budigere,1 BHK,PrityTr,664.0,1.0,1.0,34.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Itvir M,1160.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,FoapeWa,1328.0,2.0,2.0,69.0
Super built-up  Area,Ready To Move,BSM Extension,2 BHK,Raave E,975.0,2.0,2.0,45.0
Built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1907.0,2.0,1.0,200.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,Beesta ,900.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2330.0,5.0,1.0,175.0
Built-up  Area,Ready To Move,Munnekollal,3 BHK,JRarlPe,1222.0,3.0,2.0,95.0
Plot  Area,Ready To Move,Dodsworth Layout,3 Bedroom,Prleaou,4446.0,3.0,2.0,410.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ahriaup,2100.0,3.0,1.0,135.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3335.0,4.0,3.0,290.0
Built-up  Area,18-Apr,Whitefield,3 Bedroom,Prtates,3150.0,3.0,1.0,290.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330.0,2.0,2.0,46.55
Plot  Area,Ready To Move,Hosur Road,4 Bedroom,KrineAq,2000.0,4.0,1.0,130.0
Super built-up  Area,18-Jun,Electronic City Phase II,2 BHK,Coomee ,1244.0,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Konena Agrahara,2 BHK,EsadeNS,1000.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,Phens G,1000.0,2.0,2.0,35.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2630.0,5.0,0.0,188.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790.0,5.0,3.0,198.0
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Niowshi,1683.0,3.0,3.0,80.0
Built-up  Area,Ready To Move,Yelahanka,2 BHK,AdniaSk,1250.0,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1305.0,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,Baowsig,1150.0,2.0,1.0,57.5
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Clsto C,1654.0,3.0,3.0,70.0
Carpet  Area,Ready To Move,Munivenkatppa Layout,4 BHK,Trntska,4500.0,3.0,0.0,225.0
Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1890.0,4.0,3.0,125.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,750.0,1.0,1.0,18.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680.0,3.0,3.0,130.0
Super built-up  Area,18-Jul,Sarjapur  Road,3 BHK,PualeSk,1700.0,3.0,2.0,93.5
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1595.0,3.0,1.0,105.0
Super built-up  Area,19-Sep,Koramangala,3 BHK,Prood P,1866.0,4.0,2.0,245.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,RMudeat,3895.0,3.0,2.0,390.0
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,545.0,2.0,1.0,22.34
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sriffhi,1185.0,2.0,2.0,56.0
Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,1025.0,2.0,2.0,27.68
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1730.0,3.0,1.0,95.0
Super built-up  Area,19-Sep,Hennur Road,3 BHK,Orens G,1450.0,3.0,1.0,88.6
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1862.0,4.0,1.0,110.0
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,4000.0,5.0,1.0,578.0
Built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2430.0,5.0,2.0,180.0
Super built-up  Area,20-Sep,Hoodi,1 BHK,Ranuetz,863.0,1.0,0.0,40.55
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Prionve,1075.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Niiewin,1060.0,2.0,1.0,34.0
Super built-up  Area,Ready To Move,P&T Layout,2 BHK,Sashaa ,935.0,2.0,1.0,45.9
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1125.0,2.0,1.0,47.0
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Malmser,1725.0,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Vaontos,1750.0,2.0,2.0,75.0
Built-up  Area,Ready To Move,Koramangala,3 BHK,Saa 2Ai,1745.0,3.0,3.0,98.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1270.0,2.0,2.0,55.25
Super built-up  Area,Ready To Move,Iblur Village,5 BHK,Emine P,5384.0,5.0,3.0,420.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,NCensun,1180.0,2.0,2.0,72.0
Built-up  Area,Ready To Move,Shanti Nagar,2 BHK,SwionMa,1130.0,2.0,1.0,75.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2774.0,4.0,3.0,197.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1723.0,3.0,2.0,95.0
Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175.0,2.0,2.0,70.5
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Dimes E,1607.0,2.0,2.0,112.0
Built-up  Area,18-May,Varanasi,2 BHK,Ocuil T,1334.0,2.0,1.0,62.0
Super built-up  Area,19-Mar,Bellandur,3 BHK,NiCodCa,1138.0,3.0,2.0,128.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,3 BHK,NaensGa,1300.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Jakkur,4 BHK,Lecco C,5150.0,4.0,3.0,559.0
Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1398.0,2.0,1.0,97.0
Built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,Sarch M,1116.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,ARngsd ,1061.0,2.0,1.0,33.84
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Shana S,1270.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596.0,5.0,1.0,297.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Veiewak,1202.0,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1155.0,2.0,1.0,69.18
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2378.0,3.0,1.0,310.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,MBrrySt,1011.0,2.0,2.0,38.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,VaiewV ,1203.0,2.0,2.0,72.0
Super built-up  Area,19-Dec,Hebbal,3 BHK,Raard B,1645.0,3.0,2.0,113.0
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,Honcyju,1364.0,2.0,3.0,50.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252.0,3.0,3.0,70.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1221.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ayaya A,1270.0,2.0,1.0,55.25
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,KVersuj,1032.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,NDivaOl,1515.0,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Akshaya Vana,2 BHK,Daganva,1427.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460.0,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275.0,4.0,2.0,175.0
Super built-up  Area,21-Sep,9th Phase JP Nagar,3 BHK,Vasisvi,1522.0,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,42.67
Built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800.0,3.0,2.0,125.0
Built-up  Area,Ready To Move,Gollahalli,2 BHK,Viine P,1050.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929.0,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,PaantPl,1530.0,3.0,3.0,75.0
Built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,Prowshi,4041.0,4.0,2.0,345.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Palleon,635.0,1.0,0.0,28.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Arria G,1015.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,AraraSa,1175.0,2.0,0.0,54.05
Built-up  Area,Ready To Move,Ejipura,2 BHK,Prsichi,1210.0,2.0,0.0,75.0
Plot  Area,18-Apr,Attibele,3 Bedroom,Goe 2me,1000.0,3.0,1.0,90.0
Plot  Area,Ready To Move,Electronic City,4 Bedroom,Aroveth,1800.0,3.0,2.0,190.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,43.66
Built-up  Area,Ready To Move,Basavangudi,3 BHK,V2lasna,1600.0,3.0,3.0,130.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Jatish ,1300.0,2.0,2.0,69.23
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,MSopsw ,1100.0,2.0,1.0,68.0
Super built-up  Area,19-Apr,Ambalipura,2 BHK,Sisice ,860.0,2.0,1.0,28.93
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,SagasSa,1100.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SMuilan,1187.0,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Vancyat,2400.0,3.0,2.0,252.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820.0,3.0,2.0,85.2
Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,KSideas,1430.0,3.0,2.0,70.0
Super built-up  Area,21-Jan,Kanakpura Road,2 BHK,PrarePa,700.0,2.0,1.0,40.0
Super built-up  Area,20-Dec,Old Madras Road,2 BHK,Shmes O,1165.0,2.0,1.0,40.77
Built-up  Area,18-Jul,Bellandur,3 BHK,NiCodCa,1685.0,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maantr ,1314.0,2.0,2.0,110.0
Built-up  Area,Ready To Move,Virudhu Nagar,2 BHK,AmthaIn,1130.0,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Valdsic,1550.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,1053.0,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1245.0,1.0,3.0,60.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320.0,2.0,1.0,160.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,3940.0,5.0,3.0,265.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1241.0,2.0,1.0,65.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2980.0,4.0,2.0,260.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Vaw 1il,1090.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Byrasandra,3 BHK,ViisePa,1390.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Leora D,2750.0,5.0,2.0,275.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100.0,2.0,1.0,52.97
Built-up  Area,Ready To Move,Koramangala,2 BHK,HawerMa,1350.0,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787.0,3.0,2.0,116.0
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,Oznzaes,3700.0,4.0,2.0,325.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691.0,3.0,2.0,93.01
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119.0,4.0,3.0,111.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1896.0,3.0,2.0,102.0
Super built-up  Area,17-Oct,Banashankari Stage V,3 BHK,Naiewre,1540.0,3.0,2.0,48.51
Super built-up  Area,Ready To Move,Hormavu,3 BHK,Naandit,1365.0,2.0,2.0,65.0
Super built-up  Area,18-May,Thanisandra,1 BHK,SaSkyBl,580.0,1.0,1.0,27.5
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355.0,3.0,2.0,83.87
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,HMityld,1513.0,2.0,3.0,62.0
Super built-up  Area,17-Jan,Thanisandra,3 BHK,Soitya ,2087.0,4.0,2.0,139.0
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,2273.0,3.0,2.0,145.0
Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,2050.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830.0,3.0,2.0,133.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,MamelKa,1028.0,2.0,1.0,56.0
Built-up  Area,Ready To Move,Old Madras Road,2 BHK,Sastaat,1300.0,2.0,2.0,100.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Maoma P,1160.0,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Janatha Colony,2 BHK,Smrryny,1100.0,2.0,2.0,57.6
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,PrBayGa,2159.0,3.0,2.0,120.0
Super built-up  Area,18-May,Devanahalli,2 BHK,Jurdsig,1230.0,2.0,1.0,56.45
Super built-up  Area,18-Jun,Old Madras Road,5 BHK,Brica E,5020.0,7.0,0.0,287.0
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,Chisei ,1340.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Vimesar,1750.0,2.0,2.0,89.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Reion M,1675.0,3.0,3.0,62.0
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1340.0,2.0,1.0,66.33
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1276.0,2.0,2.0,76.0
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,Srdor S,1738.0,2.0,3.0,76.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.45
Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,ITI Layout,2 BHK,Soarkge,1450.0,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,MRvar S,1084.0,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,Kelmsoy,1250.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Begur,3 BHK,Spews L,1304.0,3.0,0.0,65.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,268.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,980.0,2.0,1.0,77.44
Super built-up  Area,Ready To Move,Ramanashree Enclave,2 BHK,Sumesa ,1275.0,2.0,2.0,49.5
Plot  Area,Ready To Move,Anekal,3 Bedroom,SRbiaxu,2400.0,4.0,0.0,95.0
Super built-up  Area,Ready To Move,Chikku Lakshmaiah Layout,3 BHK,Prlis A,2300.0,3.0,2.0,280.0
Super built-up  Area,18-May,Kanakpura Road,3 BHK,Wiowsri,1450.0,2.0,2.0,70.18
Super built-up  Area,Ready To Move,Electronic City,2 BHK,MVnexde,890.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Esave E,1340.0,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,DLhtsnd,1300.0,2.0,2.0,66.0
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1299.0,2.0,1.0,105.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Ieuseut,1600.0,4.0,2.0,300.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925.0,2.0,1.0,55.0
Plot  Area,Ready To Move,Meenakunte,3 Bedroom,Sreat R,3900.0,3.0,3.0,250.0
Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,MadorSp,1715.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Saavean,1144.0,2.0,2.0,65.0
Super built-up  Area,21-Jan,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,26.01
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,Asnex A,1400.0,2.0,2.0,56.0
